960.683	-29.996	-309.996	179.9998	-25.0005	0.0
961.995	-29.994	-310.003	179.9996	-25.0001	0.0
963.277	-29.989	-310.0	179.9996	-25.0	0.001
964.606	-30.001	-309.993	179.9997	-25.0009	0.0
965.877	-29.997	-309.997	180.0	-25.0005	-0.0
967.198	-29.995	-310.0	-179.9999	-25.0004	-0.0
968.474	-29.998	-310.003	179.9996	-24.9996	0.001
969.8	-29.998	-309.994	179.9999	-25.0006	0.0
971.076	-29.991	-310.001	-179.9997	-24.9999	0.0
972.472	-29.992	-310.002	179.9998	-24.9999	0.0
973.803	-30.0	-309.996	179.9993	-25.0005	0.001
975.085	-29.996	-309.993	-179.9998	-25.0008	-0.0
976.397	-29.989	-309.998	179.9997	-25.0002	0.001
977.678	-29.997	-309.999	180.0	-25.0005	-0.0
979.007	-29.992	-309.99	179.9997	-25.0011	0.0
980.283	-29.996	-309.993	179.9998	-25.0009	0.0
981.603	-29.989	-309.993	-179.9999	-25.0004	0.0
982.878	-29.995	-310.0	179.9998	-25.0002	0.0
984.201	-30.001	-309.996	-179.9999	-25.0003	-0.0
985.471	-29.989	-310.004	179.9995	-24.9995	0.001
986.793	-29.997	-310.005	-179.9999	-24.9996	0.0
988.079	-30.001	-309.998	179.9998	-25.0001	0.0
989.405	-29.995	-309.995	179.9997	-25.0007	0.0
990.669	-29.997	-310.008	180.0	-24.9995	0.0
991.88	-29.998	-309.997	-179.9996	-25.0004	-0.0
993.199	-30.0	-309.996	179.9995	-25.0005	0.001
994.48	-29.989	-309.996	179.9991	-25.0005	0.002
995.682	-30.001	-309.996	-179.9999	-25.0003	-0.0
997.004	-29.992	-309.993	179.9994	-25.0009	0.001
998.279	-29.993	-309.996	179.9995	-25.0004	0.001
999.592	-29.997	-310.002	180.0	-24.9999	0.0
1000.797	-29.995	-310.001	179.9998	-25.0003	0.0
1002.088	-29.997	-309.991	179.9998	-25.0011	0.0
1003.274	-29.991	-310.0	179.9993	-25.0002	0.0
1004.595	-29.994	-310.0	-179.9998	-24.9999	0.0
1005.885	-29.995	-309.996	179.9996	-25.0007	0.0
1007.079	-29.989	-309.997	179.9995	-25.0	0.0
1008.402	-29.992	-309.994	179.9998	-25.0003	0.0
1009.673	-29.991	-310.002	179.9998	-24.9998	0.0
1010.999	-29.993	-309.995	179.9994	-25.0006	0.0
1012.275	-29.99	-310.002	179.9995	-24.9997	0.0
1013.593	-29.993	-310.004	-179.9998	-24.9995	0.0
1014.879	-29.992	-310.001	179.9995	-25.0002	0.0
1016.199	-29.995	-309.998	-179.9998	-25.0006	-0.0
1017.473	-29.989	-310.001	179.9999	-24.9997	0.0
1018.806	-29.991	-309.991	179.9999	-25.0008	0.0
1020.078	-30.002	-309.998	-179.9995	-24.9999	-0.0
1021.397	-30.001	-310.002	179.9996	-25.0002	0.0
1022.672	-29.997	-310.003	179.9995	-24.9999	0.0
1023.999	-29.998	-309.998	179.9997	-25.0004	0.0
1025.274	-29.994	-310.003	179.9996	-25.0001	0.0
1026.596	-29.992	-309.998	179.9999	-25.0001	0.0
1027.883	-30.003	-309.996	179.9997	-25.0006	0.0
